Country,,Year,Value
Africa,,2000,18.639846801757800
Africa,,2001,18.33841896057130
Africa,,2002,18.09748077392580
Africa,,2003,19.14885139465330
Africa,,2004,19.714651107788100
Africa,,2005,19.932214736938500
Africa,,2006,21.003442764282200
Africa,,2007,20.579975128173800
Africa,,2008,20.356298446655300
Africa,,2009,19.81990623474120
Africa,,2010,18.649438858032200
Africa,,2011,19.04085350036620
Africa,,2012,16.706995010376000
Africa,,2013,15.755281448364300
Africa,,2014,17.45784568786620
Africa,,2015,17.360164642334000
Africa,,2016,14.999870300293000
Africa,,2017,14.249650001525900
Africa,,2018,13.247024536132800
Africa,,2019,13.90274429321290
Africa,,2020,14.087778091430700